+-------+----+------+------+------+----+----+-----+-----+------+------+----+------+------+----+------+------+------+-------+-------+--------------+
| Tick  | M1 | MREQ | IORQ | RFSH | RD | WR | INT | NMI | IFF1 | AB   | DB | PC   | SP   | IR | AF   | BC   | HL   | Io    | Mem   | Asm          |
|  62/1 |    | MREQ |      |      | RD |    |     |     |      | 0020 | 00 | 0021 | FFFE | 21 | 0044 | 5555 | 5550 | FF FF | FF FF | LD HL,0050h  |
|  62/0 |    |      |      |      |    |    |     |     |      | 0020 | 00 | 0021 | FFFE | 21 | 0044 | 5555 | 0050 | FF FF | FF FF | LD HL,0050h  |
|  63/1 | M1 |      |      |      |    |    |     |     |      | 0021 | 00 | 0021 | FFFE | 21 | 0044 | 5555 | 0050 | FF FF | FF FF | LD B,03h     |
|  63/0 | M1 | MREQ |      |      | RD |    |     |     |      | 0021 | 00 | 0022 | FFFE | 21 | 0044 | 5555 | 0050 | FF FF | FF FF | LD B,03h     |
|  64/1 | M1 | MREQ |      |      | RD |    |     |     |      | 0021 | 06 | 0022 | FFFE | 21 | 0044 | 5555 | 0050 | FF FF | FF FF | LD B,03h     |
|  64/0 | M1 | MREQ |      |      | RD |    |     |     |      | 0021 | 06 | 0022 | FFFE | 00 | 0044 | 5555 | 0050 | FF FF | FF FF | LD B,03h     |
|  65/1 |    |      |      | RFSH |    |    |     |     |      | 0009 | 06 | 0022 | FFFE | 06 | 0044 | 5555 | 0050 | FF FF | FF FF | LD B,03h     |
|  65/0 |    | MREQ |      | RFSH |    |    |     |     |      | 0009 | 06 | 0022 | FFFE | 06 | 0044 | 5555 | 0050 | FF FF | FF FF | LD B,03h     |
|  66/1 |    | MREQ |      | RFSH |    |    |     |     |      | 0009 | 06 | 0022 | FFFE | 06 | 0044 | 5555 | 0050 | FF FF | FF FF | LD B,03h     |
|  66/0 |    |      |      | RFSH |    |    |     |     |      | 0009 | 06 | 0022 | FFFE | 06 | 0044 | 5555 | 0050 | FF FF | FF FF | LD B,03h     |
|  67/1 |    |      |      |      |    |    |     |     |      | 0022 | 06 | 0022 | FFFE | 06 | 0044 | 5555 | 0050 | FF FF | FF FF | LD B,03h     |
|  67/0 |    | MREQ |      |      | RD |    |     |     |      | 0022 | 06 | 0023 | FFFE | 06 | 0044 | 5555 | 0050 | FF FF | FF FF | LD B,03h     |
|  68/1 |    | MREQ |      |      | RD |    |     |     |      | 0022 | 03 | 0023 | FFFE | 06 | 0044 | 5555 | 0050 | FF FF | FF FF | LD B,03h     |
|  68/0 |    | MREQ |      |      | RD |    |     |     |      | 0022 | 03 | 0023 | FFFE | 06 | 0044 | 5555 | 0050 | FF FF | FF FF | LD B,03h     |
|  69/1 |    | MREQ |      |      | RD |    |     |     |      | 0022 | 03 | 0023 | FFFE | 06 | 0044 | 5555 | 0050 | FF FF | FF FF | LD B,03h     |
|  69/0 |    |      |      |      |    |    |     |     |      | 0022 | 03 | 0023 | FFFE | 06 | 0044 | 5555 | 0050 | FF FF | FF FF | LD B,03h     |
|  70/1 | M1 |      |      |      |    |    |     |     |      | 0023 | 03 | 0023 | FFFE | 06 | 0044 | 5555 | 0050 | FF FF | FF FF | LD C,1Dh     |
|  70/0 | M1 | MREQ |      |      | RD |    |     |     |      | 0023 | 03 | 0024 | FFFE | 06 | 0044 | 5555 | 0050 | FF FF | FF FF | LD C,1Dh     |
|  71/1 | M1 | MREQ |      |      | RD |    |     |     |      | 0023 | 0E | 0024 | FFFE | 06 | 0044 | 5555 | 0050 | FF FF | FF FF | LD C,1Dh     |
|  71/0 | M1 | MREQ |      |      | RD |    |     |     |      | 0023 | 0E | 0024 | FFFE | 00 | 0044 | 0355 | 0050 | FF FF | FF FF | LD C,1Dh     |
|  72/1 |    |      |      | RFSH |    |    |     |     |      | 000A | 0E | 0024 | FFFE | 0E | 0044 | 0355 | 0050 | FF FF | FF FF | LD C,1Dh     |
|  72/0 |    | MREQ |      | RFSH |    |    |     |     |      | 000A | 0E | 0024 | FFFE | 0E | 0044 | 0355 | 0050 | FF FF | FF FF | LD C,1Dh     |
|  73/1 |    | MREQ |      | RFSH |    |    |     |     |      | 000A | 0E | 0024 | FFFE | 0E | 0044 | 0355 | 0050 | FF FF | FF FF | LD C,1Dh     |
|  73/0 |    |      |      | RFSH |    |    |     |     |      | 000A | 0E | 0024 | FFFE | 0E | 0044 | 0355 | 0050 | FF FF | FF FF | LD C,1Dh     |
|  74/1 |    |      |      |      |    |    |     |     |      | 0024 | 0E | 0024 | FFFE | 0E | 0044 | 0355 | 0050 | FF FF | FF FF | LD C,1Dh     |
|  74/0 |    | MREQ |      |      | RD |    |     |     |      | 0024 | 0E | 0025 | FFFE | 0E | 0044 | 0355 | 0050 | FF FF | FF FF | LD C,1Dh     |
|  75/1 |    | MREQ |      |      | RD |    |     |     |      | 0024 | 1D | 0025 | FFFE | 0E | 0044 | 0355 | 0050 | FF FF | FF FF | LD C,1Dh     |
|  75/0 |    | MREQ |      |      | RD |    |     |     |      | 0024 | 1D | 0025 | FFFE | 0E | 0044 | 0355 | 0050 | FF FF | FF FF | LD C,1Dh     |
|  76/1 |    | MREQ |      |      | RD |    |     |     |      | 0024 | 1D | 0025 | FFFE | 0E | 0044 | 0355 | 0050 | FF FF | FF FF | LD C,1Dh     |
|  76/0 |    |      |      |      |    |    |     |     |      | 0024 | 1D | 0025 | FFFE | 0E | 0044 | 0355 | 0050 | FF FF | FF FF | LD C,1Dh     |
|  77/1 | M1 |      |      |      |    |    |     |     |      | 0025 | 1D | 0025 | FFFE | 0E | 0044 | 0355 | 0050 | FF FF | FF FF | OTIR         |
|  77/0 | M1 | MREQ |      |      | RD |    |     |     |      | 0025 | 1D | 0026 | FFFE | 0E | 0044 | 0355 | 0050 | FF FF | FF FF | OTIR         |
|  78/1 | M1 | MREQ |      |      | RD |    |     |     |      | 0025 | ED | 0026 | FFFE | 0E | 0044 | 0355 | 0050 | FF FF | FF FF | OTIR         |
