+------+----+------+------+------+----+----+------+----+------+------+----+------+------+----+--------------+
|   T  | M1 | MREQ | IORQ | RFSH | RD | WR | AB   | DB | PC   | SP   | IR | AF   | HL   |mem | Asm          |
| 54/0 |    | MREQ |      |      | RD |    | 002E | 06 | 000D | 002F | C9 | 5501 | 000D | 41 | RET          |
| 55/1 |    | MREQ |      |      | RD |    | 002E | 06 | 000D | 002F | C9 | 5501 | 000D | 41 | RET          |
| 55/0 |    |      |      |      |    |    | 002E | 06 | 000D | 002F | C9 | 5501 | 000D | 41 | RET          |
| 56/1 |    |      |      |      |    |    | 002F | 06 | 000D | 002F | C9 | 5501 | 000D | 41 | RET          |
| 56/0 |    | MREQ |      |      | RD |    | 002F | 06 | 000D | 002F | C9 | 5501 | 000D | 41 | RET          |
| 57/1 |    | MREQ |      |      | RD |    | 002F | 00 | 000D | 002F | C9 | 5501 | 000D | 41 | RET          |
| 57/0 |    | MREQ |      |      | RD |    | 002F | 00 | 000D | 0030 | C9 | 5501 | 000D | 41 | RET          |
| 58/1 |    | MREQ |      |      | RD |    | 002F | 00 | 000D | 0030 | C9 | 5501 | 000D | 41 | RET          |
| 58/0 |    |      |      |      |    |    | 002F | 00 | 000D | 0030 | C9 | 5501 | 000D | 41 | RET          |
| 59/1 | M1 |      |      |      |    |    | 0006 | 00 | 000D | 0030 | C9 | 5501 | 000D | 41 | JR 0003h     |
| 59/0 | M1 | MREQ |      |      | RD |    | 0006 | 00 | 0007 | 0030 | C9 | 5501 | 000D | 41 | JR 0003h     |
| 60/1 | M1 | MREQ |      |      | RD |    | 0006 | 18 | 0007 | 0030 | C9 | 5501 | 000D | 41 | JR 0003h     |
| 60/0 | M1 | MREQ |      |      | RD |    | 0006 | 18 | 0007 | 0030 | 00 | 5501 | 000D | 41 | JR 0003h     |
| 61/1 |    |      |      | RFSH |    |    | 0005 | 18 | 0007 | 0030 | 18 | 5501 | 000D | 41 | JR 0003h     |
| 61/0 |    | MREQ |      | RFSH |    |    | 0005 | 18 | 0007 | 0030 | 18 | 5501 | 000D | 41 | JR 0003h     |
| 62/1 |    | MREQ |      | RFSH |    |    | 0005 | 18 | 0007 | 0030 | 18 | 5501 | 000D | 41 | JR 0003h     |
| 62/0 |    |      |      | RFSH |    |    | 0005 | 18 | 0007 | 0030 | 18 | 5501 | 000D | 41 | JR 0003h     |
| 63/1 |    |      |      |      |    |    | 0007 | 18 | 0007 | 0030 | 18 | 5501 | 000D | 41 | JR 0003h     |
| 63/0 |    | MREQ |      |      | RD |    | 0007 | 18 | 0008 | 0030 | 18 | 5501 | 000D | 41 | JR 0003h     |
| 64/1 |    | MREQ |      |      | RD |    | 0007 | FB | 0008 | 0030 | 18 | 5501 | 000D | 41 | JR 0003h     |
