+-------+----+------+------+------+----+----+-----+-----+------+------+----+------+------+----+------+------+------+-------+-------+--------------+
| Tick  | M1 | MREQ | IORQ | RFSH | RD | WR | INT | NMI | IFF1 | AB   | DB | PC   | SP   | IR | AF   | BC   | HL   | Io    | Mem   | Asm          |
|    79 |    | MREQ |      | RFSH |    |    |     |     |      | 000B | ED | 0026 | FFFE | ED | 0044 | 031D | 0050 | FF FF | FF FF | OTIR         |
|    80 |    |      |      |      |    |    |     |     |      | 000B | ED | 0026 | FFFE | ED | 0044 | 031D | 0050 | FF FF | FF FF | OTIR         |
|    81 | M1 | MREQ |      |      | RD |    |     |     |      | 0026 | ED | 0027 | FFFE | ED | 0044 | 031D | 0050 | FF FF | FF FF | OTIR         |
|    82 |    |      |      |      |    |    |     |     |      | 0026 | B3 | 0027 | FFFE | B3 | 0044 | 031D | 0050 | FF FF | FF FF | OTIR         |
|    83 |    | MREQ |      | RFSH |    |    |     |     |      | 000C | B3 | 0027 | FFFE | B3 | 0044 | 031D | 0050 | FF FF | FF FF | OTIR         |
|    84 |    |      |      |      |    |    |     |     |      | 000C | B3 | 0027 | FFFE | B3 | 0044 | 031D | 0050 | FF FF | FF FF | OTIR         |
|    85 |    |      |      |      |    |    |     |     |      | 000C | B3 | 0027 | FFFE | B3 | 0044 | 031D | 0050 | FF FF | FF FF | OTIR         |
|    86 |    |      |      |      |    |    |     |     |      | 000C | B3 | 0027 | FFFE | B3 | 0044 | 031D | 0050 | FF FF | FF FF | OTIR         |
|    87 |    | MREQ |      |      | RD |    |     |     |      | 0050 | B3 | 0027 | FFFE | B3 | 0044 | 031D | 0051 | FF FF | FF FF | OTIR         |
|    88 |    |      |      |      |    |    |     |     |      | 0050 | CF | 0027 | FFFE | B3 | 0044 | 021D | 0051 | FF FF | FF FF | OTIR         |
|    89 |    |      |      |      |    |    |     |     |      | 0050 | CF | 0027 | FFFE | B3 | 0044 | 021D | 0051 | FF FF | FF FF | OTIR         |
|    90 |    |      | IORQ |      |    | WR |     |     |      | 021D | CF | 0027 | FFFE | B3 | 0044 | 021D | 0051 | FF FF | FF FF | OTIR         |
|    91 |    |      |      |      |    |    |     |     |      | 021D | CF | 0027 | FFFE | B3 | 0013 | 021D | 0051 | FF FF | FF FF | OTIR         |
|    92 |    |      |      |      |    |    |     |     |      | 021D | CF | 0027 | FFFE | B3 | 0013 | 021D | 0051 | FF FF | FF FF | OTIR         |
|    93 |    |      |      |      |    |    |     |     |      | 021D | CF | 0025 | FFFE | B3 | 0013 | 021D | 0051 | FF FF | FF FF | OTIR         |
|    94 |    |      |      |      |    |    |     |     |      | 021D | CF | 0025 | FFFE | B3 | 0013 | 021D | 0051 | FF FF | FF FF | OTIR         |
|    95 |    |      |      |      |    |    |     |     |      | 021D | CF | 0025 | FFFE | B3 | 0013 | 021D | 0051 | FF FF | FF FF | OTIR         |
|    96 |    |      |      |      |    |    |     |     |      | 021D | CF | 0025 | FFFE | B3 | 0013 | 021D | 0051 | FF FF | FF FF | OTIR         |
|    97 |    |      |      |      |    |    |     |     |      | 021D | CF | 0025 | FFFE | B3 | 0013 | 021D | 0051 | FF FF | FF FF | OTIR         |
|    98 | M1 | MREQ |      |      | RD |    |     |     |      | 0025 | CF | 0026 | FFFE | B3 | 0013 | 021D | 0051 | FF FF | FF FF | OTIR         |
|    99 |    |      |      |      |    |    |     |     |      | 0025 | ED | 0026 | FFFE | ED | 0013 | 021D | 0051 | FF FF | FF FF | OTIR         |
|   100 |    | MREQ |      | RFSH |    |    |     |     |      | 000D | ED | 0026 | FFFE | ED | 0013 | 021D | 0051 | FF FF | FF FF | OTIR         |
|   101 |    |      |      |      |    |    |     |     |      | 000D | ED | 0026 | FFFE | ED | 0013 | 021D | 0051 | FF FF | FF FF | OTIR         |
|   102 | M1 | MREQ |      |      | RD |    |     |     |      | 0026 | ED | 0027 | FFFE | ED | 0013 | 021D | 0051 | FF FF | FF FF | OTIR         |
|   103 |    |      |      |      |    |    |     |     |      | 0026 | B3 | 0027 | FFFE | B3 | 0013 | 021D | 0051 | FF FF | FF FF | OTIR         |
|   104 |    | MREQ |      | RFSH |    |    |     |     |      | 000E | B3 | 0027 | FFFE | B3 | 0013 | 021D | 0051 | FF FF | FF FF | OTIR         |
|   105 |    |      |      |      |    |    |     |     |      | 000E | B3 | 0027 | FFFE | B3 | 0013 | 021D | 0051 | FF FF | FF FF | OTIR         |
|   106 |    |      |      |      |    |    |     |     |      | 000E | B3 | 0027 | FFFE | B3 | 0013 | 021D | 0051 | FF FF | FF FF | OTIR         |
|   107 |    |      |      |      |    |    |     |     |      | 000E | B3 | 0027 | FFFE | B3 | 0013 | 021D | 0051 | FF FF | FF FF | OTIR         |
|   108 |    | MREQ |      |      | RD |    |     |     |      | 0051 | B3 | 0027 | FFFE | B3 | 0013 | 021D | 0052 | FF FF | FF FF | OTIR         |
|   109 |    |      |      |      |    |    |     |     |      | 0051 | FF | 0027 | FFFE | B3 | 0013 | 011D | 0052 | FF FF | FF FF | OTIR         |
|   110 |    |      |      |      |    |    |     |     |      | 0051 | FF | 0027 | FFFE | B3 | 0013 | 011D | 0052 | FF FF | FF FF | OTIR         |
|   111 |    |      | IORQ |      |    | WR |     |     |      | 011D | FF | 0027 | FFFE | B3 | 0013 | 011D | 0052 | FF FF | FF FF | OTIR         |
|   112 |    |      |      |      |    |    |     |     |      | 011D | FF | 0027 | FFFE | B3 | 0017 | 011D | 0052 | FF FF | FF FF | OTIR         |
|   113 |    |      |      |      |    |    |     |     |      | 011D | FF | 0027 | FFFE | B3 | 0017 | 011D | 0052 | FF FF | FF FF | OTIR         |
|   114 |    |      |      |      |    |    |     |     |      | 011D | FF | 0025 | FFFE | B3 | 0017 | 011D | 0052 | FF FF | FF FF | OTIR         |
|   115 |    |      |      |      |    |    |     |     |      | 011D | FF | 0025 | FFFE | B3 | 0017 | 011D | 0052 | FF FF | FF FF | OTIR         |
|   116 |    |      |      |      |    |    |     |     |      | 011D | FF | 0025 | FFFE | B3 | 0017 | 011D | 0052 | FF FF | FF FF | OTIR         |
|   117 |    |      |      |      |    |    |     |     |      | 011D | FF | 0025 | FFFE | B3 | 0017 | 011D | 0052 | FF FF | FF FF | OTIR         |
|   118 |    |      |      |      |    |    |     |     |      | 011D | FF | 0025 | FFFE | B3 | 0017 | 011D | 0052 | FF FF | FF FF | OTIR         |
|   119 | M1 | MREQ |      |      | RD |    |     |     |      | 0025 | FF | 0026 | FFFE | B3 | 0017 | 011D | 0052 | FF FF | FF FF | OTIR         |
|   120 |    |      |      |      |    |    |     |     |      | 0025 | ED | 0026 | FFFE | ED | 0017 | 011D | 0052 | FF FF | FF FF | OTIR         |
|   121 |    | MREQ |      | RFSH |    |    |     |     |      | 000F | ED | 0026 | FFFE | ED | 0017 | 011D | 0052 | FF FF | FF FF | OTIR         |
|   122 |    |      |      |      |    |    |     |     |      | 000F | ED | 0026 | FFFE | ED | 0017 | 011D | 0052 | FF FF | FF FF | OTIR         |
|   123 | M1 | MREQ |      |      | RD |    |     |     |      | 0026 | ED | 0027 | FFFE | ED | 0017 | 011D | 0052 | FF FF | FF FF | OTIR         |
|   124 |    |      |      |      |    |    |     |     |      | 0026 | B3 | 0027 | FFFE | B3 | 0017 | 011D | 0052 | FF FF | FF FF | OTIR         |
|   125 |    | MREQ |      | RFSH |    |    |     |     |      | 0010 | B3 | 0027 | FFFE | B3 | 0017 | 011D | 0052 | FF FF | FF FF | OTIR         |
|   126 |    |      |      |      |    |    |     |     |      | 0010 | B3 | 0027 | FFFE | B3 | 0017 | 011D | 0052 | FF FF | FF FF | OTIR         |
|   127 |    |      |      |      |    |    |     |     |      | 0010 | B3 | 0027 | FFFE | B3 | 0017 | 011D | 0052 | FF FF | FF FF | OTIR         |
|   128 |    |      |      |      |    |    |     |     |      | 0010 | B3 | 0027 | FFFE | B3 | 0017 | 011D | 0052 | FF FF | FF FF | OTIR         |
|   129 |    | MREQ |      |      | RD |    |     |     |      | 0052 | B3 | 0027 | FFFE | B3 | 0017 | 011D | 0053 | FF FF | FF FF | OTIR         |
