+-----+----+------+------+------+----+----+------+----+------+------+----+------+------+------+----+-------+--------------+
|  T  | M1 | MREQ | IORQ | RFSH | RD | WR | AB   | DB | PC   | SP   | IR | AF   | BC   | HL   |mem | PIO   | Asm          |
|14/2 |    |      |      |      |    |    | 001C | 06 | 001D | FFFE | 06 | FF40 | 001D | 0033 | FF | AA,FF | LD B,03h     |
|14/3 |    | MREQ |      | RFSH |    |    | 000D | 06 | 001D | FFFE | 06 | FF40 | 001D | 0033 | FF | AA,FF | LD B,03h     |
|14/4 |    |      |      |      |    |    | 000D | 06 | 001D | FFFE | 06 | FF40 | 001D | 0033 | FF | AA,FF | LD B,03h     |
|14/5 |    |      |      |      |    |    | 000D | 06 | 001D | FFFE | 06 | FF40 | 001D | 0033 | FF | AA,FF | LD B,03h     |
|14/6 |    | MREQ |      |      | RD |    | 001D | 06 | 001E | FFFE | 06 | FF40 | 001D | 0033 | FF | AA,FF | LD B,03h     |
|14/7 |    |      |      |      |    |    | 001D | 03 | 001E | FFFE | 06 | FF40 | 031D | 0033 | FF | AA,FF | LD B,03h     |
|15/1 | M1 | MREQ |      |      | RD |    | 001E | 03 | 001F | FFFE | 06 | FF40 | 031D | 0033 | FF | AA,FF | LD C,1Fh     |
|15/2 |    |      |      |      |    |    | 001E | 0E | 001F | FFFE | 0E | FF40 | 031D | 0033 | FF | AA,FF | LD C,1Fh     |
|15/3 |    | MREQ |      | RFSH |    |    | 000E | 0E | 001F | FFFE | 0E | FF40 | 031D | 0033 | FF | AA,FF | LD C,1Fh     |
|15/4 |    |      |      |      |    |    | 000E | 0E | 001F | FFFE | 0E | FF40 | 031D | 0033 | FF | AA,FF | LD C,1Fh     |
|15/5 |    |      |      |      |    |    | 000E | 0E | 001F | FFFE | 0E | FF40 | 031D | 0033 | FF | AA,FF | LD C,1Fh     |
|15/6 |    | MREQ |      |      | RD |    | 001F | 0E | 0020 | FFFE | 0E | FF40 | 031D | 0033 | FF | AA,FF | LD C,1Fh     |
|15/7 |    |      |      |      |    |    | 001F | 1F | 0020 | FFFE | 0E | FF40 | 031F | 0033 | FF | AA,FF | LD C,1Fh     |
|16/1 | M1 | MREQ |      |      | RD |    | 0020 | 1F | 0021 | FFFE | 0E | FF40 | 031F | 0033 | FF | AA,FF | OTIR         |
|16/2 |    |      |      |      |    |    | 0020 | ED | 0021 | FFFE | ED | FF40 | 031F | 0033 | FF | AA,FF | OTIR         |
|16/3 |    | MREQ |      | RFSH |    |    | 000F | ED | 0021 | FFFE | ED | FF40 | 031F | 0033 | FF | AA,FF | OTIR         |
|16/4 |    |      |      |      |    |    | 000F | ED | 0021 | FFFE | ED | FF40 | 031F | 0033 | FF | AA,FF | OTIR         |
|17/1 | M1 | MREQ |      |      | RD |    | 0021 | ED | 0022 | FFFE | ED | FF40 | 031F | 0033 | FF | AA,FF | OTIR         |
|17/2 |    |      |      |      |    |    | 0021 | B3 | 0022 | FFFE | B3 | FF40 | 031F | 0033 | FF | AA,FF | OTIR         |
|17/3 |    | MREQ |      | RFSH |    |    | 0010 | B3 | 0022 | FFFE | B3 | FF40 | 031F | 0033 | FF | AA,FF | OTIR         |
|17/4 |    |      |      |      |    |    | 0010 | B3 | 0022 | FFFE | B3 | FF40 | 031F | 0033 | FF | AA,FF | OTIR         |
|17/5 |    |      |      |      |    |    | 0010 | B3 | 0022 | FFFE | B3 | FF40 | 031F | 0033 | FF | AA,FF | OTIR         |
|17/6 |    |      |      |      |    |    | 0010 | B3 | 0022 | FFFE | B3 | FF40 | 031F | 0033 | FF | AA,FF | OTIR         |
|17/7 |    | MREQ |      |      | RD |    | 0033 | B3 | 0022 | FFFE | B3 | FF40 | 031F | 0034 | FF | AA,FF | OTIR         |
